Company Name,Subindustry,Sub Subindustry,Phone,Location 1,Website
Starbucks,Coffee,,(212) 581-6410,"156 W 52nd St
(40.762027, -73.981622)",
The Library @ Paramount Hotel,Full Serve,American,212 827-4183,"235 W 46th St
(40.759132, -73.986348)",www.paramountNewYork.solmelia.com
46 Bar (Paramount Hotel),Bar / Lounge,,(212) 764-5500,"235 W 46th St
(40.759132, -73.986348)",http://www.nycparamount.com/
Victor's Cafe,Café / Deli,,(212) 586-7714 ,"236 W 52nd St
(40.762968, -73.983853)",www.victorscafe.com
Auntie Anne's,Quick Serve,Fast Food,2127641542,"664 Eighth Ave
(40.757436, -73.989633)",www.auntieannes.com
B.B. King Blues Club & Grill,Full Serve,American,2129974144,"237 W 42nd St
(40.756785, -73.988702)",www.bbkingblues.com
Cold Stone Creamery/ Tim Horton's,Quick Serve,Dessert,2123981882,"243 W 42nd St
(40.756821, -73.988789)",www.coldstonecreamery.com
Dallas BBQ,Full Serve,Barbecue,2128732004,"27 West 72nd Street
(40.776988, -73.977766)",
Starbucks,Coffee,,2123981982,"251 W 42nd St
(40.756867, -73.988901)",www.starbucks.com
Pongsri Thai Restaurant,Full Serve,Thai,2125823392,"244 W 48th St
(40.76052, -73.985817)",
Smokehouse,Full Serve,Italian,,"249 W 48th St
(40.76057, -73.98589)",www.baldoriamo.com
Lucky Star Cafe,Full Serve,American,(201) 838-9269,"250 W 43rd St
(40.757309, -73.987901)",
Shula's Steakhouse,Full Serve,Steakhouse,2122012776,"250 W 43rd St
(40.757309, -73.987901)",http://www.donshula.com
Scarlatto,Full Serve,Italian,212 730-4535,"250 W 47th St
(40.759892, -73.986276)",scarlattonyc.com
Toloache,Full Serve,Mexican,(212) 581-1818 ,"251 W 50th St
(40.761851, -73.985041)",www.toloachenyc.com
Bluechili,Full Serve,Pan Asian,(212) 246-3330,"251 W 51st St
(40.762477, -73.984586)",www.bluechilinyc.com
Pergola des Artistes,Full Serve,French,2123027500,"252 W 46th St
(40.759261, -73.986695)",pergoladesartistes.com
Trattoria Trecolori,Full Serve,Italian,(212) 997-4540,"254 W 47th St
(40.759919, -73.986348)",
Russian Samovar Restaurant,Full Serve,Russian,(212) 757-0168,"256 W 52nd St
(40.763111, -73.984192)",
John's Pizzeria,Full Serve,Pizza,(212) 391-7560,"260 W 44th St
(40.758124, -73.987897)",www.johnpizzerianyc.com
Just Pies Inc,Quick Serve,Dessert,2127217001,"260 W 44th St
(40.758124, -73.987897)",
Sunrise Deli,Café / Deli,,2122216490,"1441 Broadway
(40.754707, -73.986753)",
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,212 789-7508,"145 W 44th St
(40.756667, -73.984396)",millenniumbroadway.com
O'Lunney's Times Square Pub,Full Serve,American,212 840-6688,"145 W 45th St
(40.757336, -73.984017)",www.olunneys.com
Vacant (Juan Valdez Coffee),Coffee,,212 871-7515,"1451 Broadway
(40.755152, -73.986613)",
Abondanza,Café / Deli,,(212) 938-1333,"146 W 46th St
(40.757948, -73.983598)",
Dervish Turkish Restaurant,Full Serve,Turkish,212 997-0070,"146 W 47th St
(40.758579, -73.98315)",www.dervishrestaurant.com
"Godiva Chocolatier, Inc.",Quick Serve,Dessert,(212) 840-6758,"1460 Broadway
(40.754998, -73.986284)",www.godiva.com
Ranch 1,Quick Serve,Fast Food,,"141 W 41st St
(40.754756, -73.985956)",http://www.ranch1.com/
Scotts Food Court,Quick Serve,American,2127681111,"141 W 41st St
(40.754756, -73.985956)",
Tony's Di Napoli,Full Serve,Italian,(212) 221-0100,"147 W 43rd Str
(40.756022, -73.984808)",www.tonysnyc.com
Bombay Masala Indian Restaurant,Full Serve,Indian,(212) 302-8150,"148 W 49th St
(40.759847, -73.982294)",www.bombaymasalany.com
Vacant (former Café Groppi),Café / Deli,,(212) 221-0082,"148 W 49th St
(40.759847, -73.982294)",
Ruth's Chris Steak House,Full Serve,Steakhouse,212 245-9600,"148 W 51st St
(40.761357, -73.981969)",
Rosie O'Grady's Steakhouse,Full Serve,Steakhouse,212 869-0600,"149 W 46th St
(40.757981, -73.983627)",www.rosieogradystimessquare.com
Le Marais,Full Serve,French,(212) 869-0900,"150 W 46th St
(40.757984, -73.983677)",www.lemarais.net
Langan's Bar & Restaurant,Full Serve,American,(212) 869-5482,"150 W 47th St
(40.758612, -73.983233)",www.langans.com
Y & H Grocery,Café / Deli,,(212) 840-1659,"150 W 47th St
(40.758612, -73.983233)",
Bella Napoli,Full Serve,Italian,(212) 719-2819,"150 W 49th St
(40.759867, -73.982334)",
Osteria Al Doge,Full Serve,Italian,(212) 944-3643,"142 W 44th St
(40.756634, -73.984367)",www.osteria_doge.com
St. Andrews Restaurant and Bar,Bar / Lounge,,(212) 840-8413,"142 W 46th St
(40.757915, -73.983519)",www.standrewsnyc.com
Pasta Lovers Trattoria,Full Serve,Italian,212 819-1155,"142 W 49th St
(40.759798, -73.982172)",www.pastaloversnyc.com
John's Shanghai,Full Serve,Chinese,(212) 869-9183,"144 W 46th St
(40.757932, -73.983558)",
Starbucks,Coffee,,2122217515,"1460 Broadway
(40.754998, -73.986284)",www.starbucks.com
Virgils Real Barbecue,Full Serve,Barbecue,(212) 921-9494,"152 W 44th St
(40.756716, -73.984558)",www.virgilsbbq.com
Iroha,Full Serve,Japanese,212 398-9049,"152 W 49th St
(40.759883, -73.982374)",
Sapporo,Full Serve,Japanese,212 869-8972,"152 W 49th St
(40.759883, -73.982374)",
Europa Cafe,Café / Deli,,(212) 581-0152,"152 W 51st St
(40.761439, -73.982168)",www.euorpacafe.com
Bar Americain,Full Serve,American,(212) 265-9700,"152 W 52nd St
(40.762005, -73.981568)",www.baramerican.com
Ruby's Diner,Full Serve,Diner,,"234 W 42nd St
(40.756747, -73.988659)",www.rubys.com
Virtigo Cafe Llc,Café / Deli,,2122219454,"234 W 42nd St
(40.756747, -73.988659)",
Aoki,Full Serve,Japanese,(212) 956-2355 ,"234 W 48th St
(40.760454, -73.985655)",aokinyc.com
Saigon 48,Full Serve,Vietnamese,(212) 247-8669,"234 W 48th St
(40.760454, -73.985655)",
Inakaya,Full Serve,Japanese,(212) 354-2130,"620 Eighth Ave
(40.756039, -73.990651)",
Schnipper's Quality Kitchen,Full Serve,American,(212) 921-2400,"620 Eighth Ave
(40.756039, -73.990651)",http://www.schnippers.com/
McDonald's,Quick Serve,Fast Food,2125865530,"1651 Broadway
(40.762164, -73.983575)",
Starbucks,Coffee,,(212) 391-2079,"1530 Broadway
(40.757674, -73.985121)",www.starbucks.com
Sardi's Restaurant,Full Serve,American,(212) 221-8440,"234-236 W 44th St
(40.757921, -73.987421)",www.sardis.com
Dean & Deluca,Café / Deli,,(212) 869-6890,"560 Broadway
(40.723909, -73.998048)",www.deandeluca.com
Library Bar,Full Serve,American,(212) 827-4183,"235 W 46th St
(40.759132, -73.986348)",
La Rivista Ristorante,Full Serve,Italian,212-245-1707,"313 W 46th St
(40.760082, -73.98859)",www.larivistanyc.com
Broadway Joe Steakhouse,Full Serve,Steakhouse,(212) 246-6513,"315 W 46th St
(40.760098, -73.988629)",broadwayjoesteakhouse.com
Bistecca Fiorentina,Full Serve,Steakhouse,(212) 258-3232,"317 W 46th St
(40.760114, -73.988669)",www.bisteccafiorentinanyc.com
Gourmet New York,Café / Deli,,,"680 Eighth Ave
(40.757998, -73.989218)",
Port Gourmet Deli,Café / Deli,,(212) 245-3168,"681 Eighth Ave
(40.758007, -73.98924)",
McDonald's,Quick Serve,Fast Food,2122217664,"220 W 42nd St
(40.756412, -73.987858)",www.mcdonalds.com
McDonald's,Quick Serve,Fast Food,2122213941,"688 Eighth Ave
(40.758218, -73.989059)",
Robert Emmett's Bar & Restaurant,Full Serve,American,(212) 302-9999,"694 Eighth Ave
(40.758383, -73.98894)",www.robertemmetts.com
"1657 Broadway Deli, Ltd.",Café / Deli,,2129560099,"1651-1665 Broadway
(40.762164, -73.983575)",
Hard Rock Cafe,Full Serve,American,2123433355,"1501 Broadway
(40.757103, -73.986193)",www.hardrockcafe.com
Planet Hollywood,Full Serve,American,(212) 333-7827,"1540 Broadway
(40.757847, -73.985009)",www.planethollywoodintl.com
B. Smith's Restaurant Row,Full Serve,American,(212) 315-1100,"320 W 46th St
(40.760136, -73.988759)",www.bsmith.com
Orso,Full Serve,Italian,212-489-7212,"322 W 46th St
(40.760153, -73.988803)",www.orsorestaurant.com
Joe Allen,Full Serve,American,(212) 581-6464,"326 W 46th St
(40.760186, -73.988882)",www.joeallenrestaurant.com
O'Flaherty's Ale House & Restaurant,Full Serve,American,(212) 581-9366,"334 W 46th St
(40.760254, -73.989045)",www.oflahertynyc.com
Sangria 46,Full Serve,Spanish,212-581-8482,"338 W 46th St
(40.76029, -73.989124)",www.sangria46.com
Le Rivage,Full Serve,French,(212) 765-7374,"340 W 46th St
(40.760307, -73.989167)",www.lerivagenyc.com
Da Rosina Ristorante Italiano,Full Serve,Italian,(212) 977-7373,"342 W 46th St
(40.760323, -73.989207)",www.darosina.com
EZ Deil and NY Nail Land,Café / Deli,,(212) 333-5650,"1625 Broadway
(40.761223, -73.984207)",
Dunkin' Donuts,Coffee,,(212) 757-4617,"210 W 50th St
(40.76156, -73.984395)",
Famous Famiglia Pizzeria,Quick Serve,Pizza,(212) 333-4646,"1630 Broadway
(40.761327, -73.984106)",www.famousfamiglia.com
Italia Mia Pizza,Full Serve,Pizza,(212) 265-1414,"1674 Broadway
(40.762861, -73.983109)",
Club House Café,Full Serve,Spanish,(212) 354-3838,"155 W 46th St
(40.758031, -73.983746)",
Restaurant,Full Serve,American,2128690900,"155 W 46th St
(40.758031, -73.983746)",www.lemarais.net
TGI Friday's,Full Serve,American,2129447352,"1552 Broadway
(40.758665, -73.984977)",www.fridays.com
Meson Sevilla Ristorante,Full Serve,Spanish,(212) 262-5890,"344 W 46th St
(40.760342, -73.989247)",mesonsevilla.com
Danny's Grand Sea Palace,Full Serve,Seafood,(212) 265-8130,"346 W 46th St
(40.760359, -73.989286)",
Sushi of Gari,Full Serve,Japanese,(212) 957-0046,"347 W 46th St
(40.760373, -73.989276)",www.sushiofgari.com
Swing 46 Jazz and Supper Club,Full Serve,American,(212) 262-9554,"349 W 46th St
(40.760392, -73.989315)",www.swing46.com
Bourbon Street Bar & Grille,Full Serve,Cajun,(212) 245-2030,"346 W 46th St
(40.760359, -73.989286)",www.bourbonny.com
Ocha Sushi,Full Serve,Japanese,2125813198,"350 W 46th St
(40.760395, -73.989369)",
Becco,Full Serve,Italian,(212) 397-7597,"355 W 46th St
(40.760441, -73.989438)",www.becconyc.com
Capri Ristorante - CLOSED,Full Serve,Italian,212 582-5850,"358 W 46th St
(40.760463, -73.989528)",http://www.capri46.com
Paramount Cafe,Café / Deli,,2123916675,"1501 Broadway, Suite# 2009
(40.757103, -73.986193)",
Viva Pancho,Full Serve,Mexican,(212) 944-9747,"156 W 44th St
(40.756746, -73.984634)",
Lattanzi Restaurant,Full Serve,Italian,(212) 315-0980,"359 W 46th St
(40.760477, -73.989521)",www.lattanzinyc.com
"Aramark Services, Inc.",Catering,,,"230 W 41st St
(40.755802, -73.988482)",
City Chow,Café / Deli,,(212) 445-0600,"1633 Broadway
(40.761574, -73.983962)",www.blueradishgroup.com
Cosi,Café / Deli,,2123972674,"1633 Broadway
(40.761574, -73.983962)",www.cosiny.com
Mars 2112,Full Serve,American,2125822112,"1633 Broadway, Suite# B
(40.761574, -73.983962)",www.mars2112.com
Bangkok House,Full Serve,Thai,(212) 541-5943,"360 W 46th St
(40.76048, -73.989571)",www.bangkokhouseny.com
The House of Brews,Full Serve,American,(212) 245-0551,"363 W 46th St
(40.76051, -73.9896)",www.HouseOfBrews.com
Tramonti,Full Serve,Italian,(212) 974-7464,"364 W 46th St
(40.760513, -73.989651)",
Firebird Restaurant,Full Serve,Russian,(212) 586-0244,"365 W. 46th Street
(40.760529, -73.98964)",firebirdrestaurant.com
Joshua Tree - CLOSED,Full Serve,American,(212) 489-1920,"368 W 46th St
(40.760548, -73.989734)",http://www.joshuatreebarnyc.com/
McDonald's,Quick Serve,Fast Food,2129218900,"1560 Broadway, Suite# 1651
(40.75886, -73.984843)",www.mcdonalds.com
Ritz Bar & Lounge,Bar / Lounge,,(212) 977-3884,"369 W 46th St
(40.760562, -73.989723)",
Deacon Brodie's Tavern,Bar / Lounge,,(212) 262-1452,"370 W 46th St
(40.760565, -73.989774)",
Pomaire,Full Serve,Chilean,(212) 956-3055,"371 W 46th St
(40.760578, -73.989763)",www.pomairenyc.com
Red Lobster,Full Serve,Seafood,2127306706,"5 Times Sq
(40.755709, -73.987208)",www.redlobster.com
Pig 'N' Whistle,Full Serve,American,(212) 302-0112,"165 W 47th St store front
(40.758744, -73.983504)",www.pignwhistlets.com
Roxy Deli,Café / Deli,,212-921-3333,"1565 Broadway
(40.759192, -73.985186)",www.roxydeli.com
Blue Fin,Full Serve,Seafood,(212) 918-1400,"W Times Square 1567 Broadway
(40.756582, -73.989637)",www.brguestrestaurants.com
The Whiskey,Bar / Lounge,,2129307444,"1567 Broadway
(40.759247, -73.985168)",www.midnightoilbars.com
Aspen Social Club,Full Serve,American,(212) 221-7200 ,"157 W 47th St
(40.758678, -73.983342)",http://www.aspensocialclub.com/
Times Deli Café,Café / Deli,,212 944-1234,"158 W 44th St
(40.756763, -73.98467)",
Starbucks,Coffee,,2125417515,"1585 Broadway
(40.760216, -73.985334)",www.starbucks.com
vacant (former starbucks),Coffee,,2122451936,"1600 Broadway
(40.76035, -73.984713)",www.starbucks.com
Spotlight Times Square,Full Serve,American,2129776773,"1604-1610 Broadway
(40.760487, -73.984648)",
San Leone,Full Serve,Italian,(212) 265-1414,"1674 Broadway
(40.762861, -73.983109)",
Ellen's Stardust Diner,Full Serve,American,(212) 956-5151,"1650 Broadway
(40.761964, -73.983684)",www.ellensstardustdiner.com
New York Bagel Company,Café / Deli,,2123977720,"1674 Broadway
(40.762861, -73.983109)",www.networkbeyond.com
Crumbs,Quick Serve,Dessert,2127949800,"1675 Broadway
(40.762963, -73.983073)",http://crumbs.com/
Olive Garden Italian Restaurant,Full Serve,Italian,2123333254,"2 Times Sq
(40.75931, -73.984857)",www.olivegarden.com
Playwright Bar And Restaurant,Full Serve,American,(212) 262-9263,"202 W 49th St
(40.760559, -73.983991)",www.playwrighttavern.com
Dean & Deluca,Café / Deli,,2122210308,"620 Eighth Ave
(40.756039, -73.990651)",www.deandeluca.com
Subway,Quick Serve,Fast Food,2122651822,"214 W 50th St
(40.761585, -73.984456)",
Europa Café,Café / Deli,,(212) 664-1820 x14,"218 W 42nd St
(40.756382, -73.987789)",
Uncle A's Mini Mart,Café / Deli,,(212) 921-7185,"220 W 41st St
(40.755717, -73.98828)",
The Alicart Restaurant Group,Catering,,2126759790,"1501 Broadway
(40.757103, -73.986193)",http://www.alicart.com/
Da Marino,Full Serve,Italian,(212) 541-6601,"220 W 49th St
(40.760987, -73.984987)",
Danny's Deli,Full Serve,Italian,(212) 921-1200,"224 W 47th St
(40.759697, -73.985818)",
Lp Food & Beverage Inc/Oceo,Catering,,2122626236,"224 W 49th St
(40.761014, -73.985052)",www.oceo.com
Oceo,Full Serve,Afghan,212 262-6236,"224 West 49th Street
(40.761014, -73.985052)",
Serafina @ Time Hotel,Full Serve,Italian,212,"224 W 49th St
(40.761014, -73.985052)",
Gallagher's Steak House,Full Serve,Steakhouse,(212) 245-5336,"228 W. 52nd Street
(40.762911, -73.98372)",www.gallaghersnysteakhouse.com
Carmine's,Full Serve,Italian,(212) 221-3800,"200 W 44th St
(40.757405, -73.98619)",www.carminesnyc.com
Carvel,Quick Serve,Dessert,212 391-6675,"1501 Broadway
(40.757103, -73.986193)",
Coldstone Creamery,Quick Serve,Dessert,(212) 398-1882,"1501 Broadway, Suite 1604
(40.757103, -73.986193)",www.coldstonecreamery.com
Havana Central,Full Serve,Cuban,2123987440,"151 West 46th Street
(40.757998, -73.983667)",www.havanacentral.com
Domino's Pizza,Quick Serve,Pizza,2129440400,"230 W 41st St
(40.755802, -73.988482)",
Hurley's Steak and Seafood,Full Serve,Steakhouse,(212) 765-8981,"232 W 48th St
(40.760441, -73.985622)",
Pinnacle Bar,Full Serve,American,212-642-2607,"234 W 42nd St 25th Floor
(40.756747, -73.988659)",www1.hilton.com/en_US/hi/hotel/NYCTSHF-Hilton-Times-Square-New-York/dining.do
Applebee's Neighborhood Grill and Bar,Full Serve,American,914-777-2331 Ext.116,"234 W 42nd St
(40.756747, -73.988659)",www.ApplebeesNY.com
Chock full o' Nuts Cafe,Café / Deli,,2127645969,"234 W 42nd St
(40.756747, -73.988659)",www.chockfullonuts.com
Juniors Restaurant,Full Serve,American,212-302-2000,"1515 Broadway
(40.757636, -73.985804)",www.juniorscheescake.com
Dippin' Dots,Quick Serve,Dessert,,"234 W 42nd St
(40.756747, -73.988659)",www.dippindots.com
Manchu WOK,Quick Serve,Chinese,,"234 W 42nd St
(40.756747, -73.988659)",www.manchuwok.com
Ranch 1,Quick Serve,Fast Food,,"234 W 42nd St
(40.756747, -73.988659)",
EASY INTERNET CAFE TIME SQUARE LLC,Café / Deli,,,"258 W 42nd St
(40.756895, -73.989009)",
Howard Johnson's Cafe',Café / Deli,,,"1551-1553 Broadway
(40.758805, -73.985312)",
Bar 10,Bar / Lounge,,(212) 201-2764,"270 W 43rd St
(40.757482, -73.988309)",www.westinny.com
Dale & Thomas Popcorn,Quick Serve,Other,(212) 581-1872,"1592 Broadway
(40.759963, -73.984883)",www.daleandthomas.com
Encore Restaurant @ Marriott Marquis,Full Serve,American,(212) 704-8849,"1535 Broadway 5th Floor
(40.758267, -73.985468)",www.NYMarriottMarquis.com
Crown Deli,Full Serve,Italian,(212) 265-1414,"1678 Broadway
(40.762977, -73.983041)",
The Two Times Square Restaurant,Full Serve,American,(212) 261-5200,"714 Seventh Ave
(40.759581, -73.984366)",www.twotimessquarerestaurant.com
The View Restaurant & Lounge @ Marriott Marquis,Full Serve,American,(212) 704-8849,"1535 Broadway 48th Floor
(40.758267, -73.985468)",www.NYMarriottMarquis.com
Applebee's,Full Serve,American,(212) 262-4022,"205 W 50th St
(40.761382, -73.983926)",www.applebeesny.com
Social Bar NYC & Latitude Bar Grill,Full Serve,American,(212) 459-0643,"795 Eighth Avenue
(40.761212, -73.9869)",www.manhattan.crowneplaza.com
The Long Room,Bar / Lounge,,(212) 997-3933,"120 West 44th St.
(40.756461, -73.983952)",www.thelongroomnyc.com
Scott Alling-Convivial Catering,Catering,,,"130 W 42nd St
(40.755278, -73.985172)",
Gingers Restaurant,Full Serve,American,(212) 403-6371,"1568 Broadway
(40.759055, -73.98471)",www.nyc.doubletreehotels.com
Scott Alliang-Demonstration Room,Catering,,,"130 W 42nd St
(40.755278, -73.985172)",
Blockheads,Full Serve,Mexican,,"825 Eighth Ave
(40.762074, -73.986275)",
David's Potbelly Stove Cafe,Café / Deli,,(212) 626-9000,"1501 Broadway
(40.757103, -73.986193)",
Time Square Deli,Café / Deli,,(212) 840-7983,"1501 Broadway
(40.757103, -73.986193)",
Baja Fresh Mexican Grill,Quick Serve,Mexican,(212) 764-9084,"1441 Broadway
(40.754707, -73.986753)",
Bobby Van's Steakhouse,Full Serve,American,,"120 West 45th Street
(40.757117, -73.983544)",
F & H Liquor Center Inc,Consumables,Beverages,(212) 247-4991,"810 7th Ave
(40.762639, -73.982146)",
Martini's Restaurant,Full Serve,Italian,(212) 767-1146,"810 7th Ave
(40.762639, -73.982146)",
Montenapo Restaurant,Full Serve,Italian,(212) 764-7663 ,"250 West 41st Street
(40.755973, -73.988886)",montenaporestaurant.com
Starbucks,Coffee,,(212) 704-8937 ,"1656 Broadway
(40.762257, -73.983492)",
Aureole,Full Serve,American,2123191660,"1 Bryant Park
(40.755182, -73.98388)",www.charliepalmer.com
Dunhill Cafe,Full Serve,American,(212) 944-8484,"109 W 45th St
(40.757026, -73.983291)",
Bubba Gump Shrimp Co.,Full Serve,Seafood,(212) 391-7100,"209 Avenida Fabricante Suite 200
(33.4463, -117.587655)",www.bubbagump.com
Cranberry Gourmet,Café / Deli,,(212) 730-9495,"115 W 45th St
(40.757078, -73.983411)",
Haggis Inc,Full Serve,Scottish,2128408413,"120 W 44th St
(40.756461, -73.983952)",
Saju French Bistro @ Hotel Mela,Full Serve,French,212-977-saju,"120 W 44th St
(40.756461, -73.983952)",www.sajunyc.com
N Valenti Restaurant Associates,Catering,,2127898145,"120 W 45th St
(40.757117, -73.983544)",
Patina Restaurant Group,Catering,,(212) 789-8100,"120 W 45th St
(40.757117, -73.983544)",
Connolly's Pub And Restaurant,Bar / Lounge,,(212) 597-5126,"121 W 45th St
(40.75713, -73.983533)",www.ConnollysPubAndRestaurant.com
Cafe Un Deux Trois,Full Serve,French,(212) 354-4148,"123 W 44th St
(40.756491, -73.983977)",www.cafeuneuxtros.biz
The Perfect Pint,Bar / Lounge,,(212) 354-1099,"123 W 45th St
(40.757147, -73.983573)",www.theperfectpintnyc.com
Duvel Bar Rest,Full Serve,Belgian,(212) 768-0200,"125 W 43rd St
(40.75586, -73.984418)",www.bxcafe.com
Trattoria Dopo Teatro,Full Serve,Italian,(212) 869-2849,"125 W 44th St
(40.756505, -73.984017)",dopoteatro.com
H&B Heartland Burgers,Full Serve,American,(646) 366-0235,"127 W 43rd St
(40.755873, -73.984454)",http://www.heartlandbrewery.com/Times_Square.php
Heartland Brewery,Full Serve,American,212-366-0235,"127 W 43rd St
(40.755873, -73.984454)",www.heartlandbrewery.com
Cafe O,Full Serve,American,(212) 852-4900,"130 W 42nd St
(40.755278, -73.985172)",
NIOS Restaurant @ Muse Hotel,Full Serve,American,212 485-2400,"130 W 46th St
(40.757814, -73.98328)",districtnyc.com
O'Brien's Bar and Grill,Bar / Lounge,American,(212) 391-1516,"134 W 46th St
(40.757847, -73.98336)",
Pronto Pizza-Lemlen Pizza,Full Serve,Pizza,(212) 221-8886,"135 W 41st St
(40.754691, -73.985797)",
Bobby Vans,Full Serve,Steakhouse,212-957-5050,"135 W 50th St
(40.760374, -73.981533)",www.bobbyvans.com
Bocca To Go Cucian Italiana,Full Serve,Italian,(212) 582-3000,"135 W 50th St
(40.760374, -73.981533)",www.boccatogo.com
Pret a Manger,Café / Deli,,(212) 489-6458,"135 W 50th St
(40.760374, -73.981533)",
Dave & Buster's,Full Serve,American,(646) 495-2015,"2481 Manana Drive
(32.873859, -96.894618)",www.daveandbusters.com
Qdoba Mexican Grill,Quick Serve,Mexican,2127670040,"135 W 50th St
(40.760374, -73.981533)",www.qdoba.com
Moda @ Flatotel,Full Serve,Italian,(212) 887-9880,"135 W 52nd St
(40.761736, -73.980883)",
Margon Restaurant Co.,Full Serve,Cuban,(212) 354-5013,"136 W 46th St
(40.757863, -73.9834)",
Subway,Quick Serve,Fast Food,2128400792,"136 W 44th St
(40.756587, -73.984255)",www.subway.com wwww.papajohns.com
Minar Indian Restaurant,Full Serve,Indian,(212) 398-4600,"138 W 46th St
(40.757882, -73.983439)",www.minarny.com
Jimmy's Corner,Bar / Lounge,,(212) 221-9510,"140 W 44th St
(40.75662, -73.984331)",
Metro Deli/ Ranch #1,Café / Deli,,(212) 768-1111,"141 W 41st St
(40.754756, -73.985956)",
Starbucks,Coffee,,(212) 221-7515 ,"1500 Broadway
(40.756856, -73.985973)",
"KFC, Tim Horton, Pizza Hut",Coffee,,(212) 767-8347,"761 Seventh Ave
(40.761184, -73.983186)",
Tad's Steakhouse,Full Serve,Steakhouse,(212) 382-1164,"761 Seventh Ave
(40.761184, -73.983186)",
Haagen-Dazs,Quick Serve,Dessert,,"761-779 Seventh Ave
(40.761184, -73.983186)",www.haagen-dazs.com
Pizza Hut,Quick Serve,Pizza,2127678347,"761-779 Seventh Ave
(40.761184, -73.983186)",www.pizzahut.com
T.G.I. Friday's,Full Serve,American,2127678349,"761 Seventh Ave
(40.761184, -73.983186)",www.tgifridays.com
Sbarro,Quick Serve,Pizza,2122219725,"701 Seventh Ave
(40.759293, -73.984543)",
Tad's Steak House,Full Serve,Steakhouse,(212) 767-8348,"701 Seventh Ave
(40.759293, -73.984543)",
Papa John's/Subway,Quick Serve,Pizza,2122451900,"765 Eighth Ave
(40.76029, -73.987572)",www.papajohns.com
Europa Cafe,Café / Deli,,2125812517,"787 Seventh Ave
(40.761955, -73.982622)",www.europacafe.com
LyBane Wine Bar,Full Serve,Italian,(212) 582-2012,"709 Eighth Ave
(40.758885, -73.988604)",
Charley O's,Full Serve,American,2129770025,"713 Eighth Ave
(40.759011, -73.988514)",
Chicken Bar,Full Serve,American,(212) 245-5111,"717 Eighth Ave
(40.759264, -73.98833)",
Starbucks,Coffee,,2128309001,"770 Eighth Ave
(40.760496, -73.987395)",www.starbucks.com
Pigalle,Full Serve,French,(212) 489-2233,"790 Eighth Ave
(40.761127, -73.98694)",www.pigallenyc.com
A Slice of New York Pizza,Quick Serve,Pizza,212-453-8970,"727 Eighth Ave
(40.759576, -73.988099)",
Tonic Sports Bar & Restaurant,Full Serve,American,(212) 382-1059,"727 Seventh Ave
(40.760059, -73.984005)",www.thetonicbar.com
Daniela's Trattoria,Full Serve,Italian,212 869-3585,"728 Eighth Ave
(40.759327, -73.988258)",
Spice Fusion,Full Serve,Indian,212-757-8100,"777 Eighth Ave
(40.76068, -73.987287)",www.myspicefusion.com
Latitude,Full Serve,American,(212) 245-3034,"783 Eighth Ave
(40.760814, -73.987189)",
