DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,GRADE
SPORTS CENTER CAFE,0,CHELSEA PIERS,10011,2123366027,Caf̩/Coffee/Tea,A
MARCO POLO PIZZA & DELI,1289,MADISON AVENUE,10128,2124273777,Delicatessen,A
POD CAFE,230,EAST 51 STREET,10022,2123550300,Caf̩/Coffee/Tea,A
EMACK & BOLIO'S,389,AMSTERDAM AVENUE,10024,2123622747,"Ice Cream, Gelato, Yogurt, Ices",A
ARNO RISTORANTE,141,WEST   38 STREET,10018,2129447420,Italian,A
JIN RAMEN UWS,462,AMSTERDAM AVE,10024,9177675088,Japanese,A
DOMINO'S,45,CATHERINE ST,10038,9179451333,Pizza,A
BAGEL EXPRESS,347,LEXINGTON AVENUE,10016,2122868887,Bagels/Pretzels,A
ROLL N GO PIZZA & WOK TO WALK,570,8 AVENUE,10018,2123984646,Pizza/Italian,A
BEST OF THE BEST DELICATESSEN,11,PARK PLACE,10007,2126194266,Delicatessen,A
ARTICHOKE BASILLE'S PIZZA & BAR,457,WEST   17 STREET,10011,2127929200,Pizza/Italian,A
THE FOUR FACED LIAR,165,WEST    4 STREET,10014,2122068959,American,A
INSOMNIA COOKIES,405,AMSTERDAM AVENUE,10024,2153831319,American,A
STUMPTOWN COFFEE,18,WEST   29 STREET,10001,7189025484,Caf̩/Coffee/Tea,A
DELICE & SARRASIN,20,CHRISTOPHER ST,10014,2122437200,French,A
VANESSA'S DUMPLING,220,EAST   14 STREET,10003,2125291329,Chinese,A
5BAR KARAOKE,38,WEST   32 STREET,10001,2125946644,Korean,A
SYMPOSIUM GREEK RESTAURANT,544,WEST  113 STREET,10025,2128651011,Greek,A
CHECKERS,79,W 125TH ST,10027,2128371500,American,A
CHELSEA RISTORANTE,108,8 AVENUE,10011,2129247786,Italian,A
LA EXCELENCIA EMPANADAS MONUMENTAL,522,W 207TH ST,10034,2125675241,Spanish,A
NUMERO 28 PIZZERIA,658660,AMSTERDAM AVENUE,10025,2127067282,Pizza/Italian,A
FIVE GUYS FAMOUS BURGERS AND FRIES,56,W 14TH ST,10011,2126752229,American,A
PRET A MANGER,NKA,PENN STATION,10001,6465901382,Soups & Sandwiches,A
EL NUEVO TAINO,2228,AMSTERDAM AVENUE,10032,2125439635,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
CAFE LALO,201,WEST   83 STREET,10024,2124966031,Caf̩/Coffee/Tea,A
SANTO DOMINGO BAKERY,93,CLINTON STREET,10002,2125052029,Bakery,A
REPUBLIC RESTAURANT,37,UNION SQUARE WEST,10003,2126277172,Thai,A
CROWN FRIED CHICKEN,200,DYCKMAN ST,10040,2125675333,American,A
SQUARE DINER,33,LEONARD STREET,10013,2129257188,American,A
CHICKEN BAR,717,8 AVENUE,10036,2122455111,Chicken,A
BEACON THEATRE,2124,BROADWAY,10023,2123248015,American,A
EAST VILLAGE SOCIAL,126,ST MARKS PLACE,10009,9179755406,American,A
LIPS RESTAURANT,227,EAST   56 STREET,10022,2126757710,American,A
CHIPOTLE MEXICAN GRILL,906,3RD AVE,10022,3035954000,Tex-Mex,A
FOUR SEASONS HOTEL,57,EAST   57 STREET,10022,2128936819,American,A
POPEYES LOUISIANA KITCHEN,47,WEST   14 STREET,10011,2122068405,Chicken,A
PINCH FOOD DESIGN,545,WEST   27 STREET,10001,2122447000,American,A
JOE'S GINGER RESTAURANT,25,PELL STREET,10013,2122850333,Chinese,A
TUNG THONG 181,812,W 181ST ST,10033,2125685888,Thai,A
A TASTE OF SEAFOOD,1980,3RD AVE,10029,2124273663,American,A
NEW NO. 1 CHINESE RESTAURANT,83,WEST 115 STREET,10026,2127223958,Chinese,A
PONTY BISTRO,144,W 139TH ST,10030,2122346474,French,A
WENDY'S,938,8TH AVE,10019,2129774788,Hamburgers,A
PITA PRESS/ CEDAR LOCAL,25,CEDAR STREET,10006,2123449737,Greek,A
NEW FRESCO TORTILLAS,63,READE STREET,10007,2127912438,Tex-Mex,A
MAMA'S PIZZA CAFE,705,8 AVENUE,10036,2129563400,Pizza,A
CAFE HENRIE,116,FORSYTH ST,10002,2022108019,Caf̩/Coffee/Tea,A
ICHI UMI,6,EAST   32 STREET,10016,2127251333,Japanese,A
SKINNYPIZZA,225,LIBERTY ST,10281,7187786392,Pizza/Italian,A
THE BRAZEN TAVERN,356,W 44TH ST,10036,6466785989,American,A
BOSTON MARKET,885,10 AVENUE,10019,2122624694,American,A
BLUE WATER GRILL,31,UNION SQUARE WEST,10003,2126759500,Seafood,A
MARKET CAFE,425,LEXINGTON AVENUE,10017,2126816300,American,A
HUNAN DELIGHT,1467,YORK AVE,10075,2126288161,Asian,A
THE COUNTRY CAFE,60,WALL STREET,10005,3474279132,Sandwiches/Salads/Mixed Buffet,A
DUNKIN' DONUTS,90,BROAD ST,10004,2124227991,American,A
NUM PANG,28,E 12TH ST,10003,6464299606,Sandwiches/Salads/Mixed Buffet,A
KAFANA,116,AVENUE C,10009,2123538000,Eastern European,A
CURRY IN A HURRY,119,LEXINGTON AVENUE,10016,2126830900,Indian,A
NUM PANG SANDWICH SHOP,1129,BROADWAY,10010,2126478889,Sandwiches,A
RED FLAME DINER,67,WEST   44 STREET,10036,2128693965,American,A
BENITO ONE,174,MULBERRY STREET,10013,2122269171,Italian,A
CHIPOTLE MEXICAN GRILL,28,W 40TH ST,10018,2123020650,Mexican,A
MIST HARLEM,46,WEST  116 STREET,10026,6467383043,American,A
BUDEPEST CAFE,1631,2 AVENUE,10028,2123271105,Eastern European,A
SUNITA,106,NORFOLK STREET,10002,2122538860,American,A
ESTELA,47,E HOUSTON STREET,10012,2122197693,American,A
BRICKLANE CURRY HOUSE,99,2ND AVE,10003,2129792900,Indian,A
PIER 72 RESTAURANT,270,WEST   72 STREET,10023,2127991019,American,A
AMBROSIA,8,WEST   45 STREET,10036,2129210024,Korean,A
MO IL GELATO,178,MULBERRY STREET,10012,2122266758,"Ice Cream, Gelato, Yogurt, Ices",A
EL RANCHO BURRITOS,359,WEST   45 STREET,10036,2125814206,Tex-Mex,A
KOFFEECAKE CORNER,775,AVENUE OF THE AMERICAS,10001,3475852325,Caf̩/Coffee/Tea,A
BARRACA/MACONDO,81,GREENWICH AVENUE,10014,2124620080,Spanish,A
MON CHER MARKET,339,BROADWAY,10013,2129650007,American,A
DA TOMMASSO,903,EIGHTH AVENUE,10019,2122651890,Italian,A
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,47,WEST   14 STREET,10011,2126270851,Caribbean,A
NEW HONG KONG KITCHEN,1907,LEXINGTON AVE,10035,2125345533,Chinese,A
"DESSERT CLUB, CHIKALICIOUS",204,EAST   10 STREET,10003,2124750929,Bakery,A
MORSO,420,EAST   59 STREET,10022,2127592706,Italian,A
GMT TAVERN,142,BLEECKER STREET,10012,6468633776,American,A
JUICE GENERATION,122,E 42ND ST,10168,2126611300,American,A
ROSELLA'S PIZZERIA,164,WILLIAM STREET,10038,2126128260,Pizza,A
BARBETTA RESTAURANT,319321,323 W. 46TH ST.,10036,2122469171,Italian,A
PRESTO FRESH CAFE,559,LENOX AVE,10037,3476849436,Spanish,A
EMERALD INN,250,W 72ND ST,10023,2128748840,Irish,A
INDIE FOOD AND WINE,144,WEST   65 STREET,10023,2128755256,American,A
HUDSON BAR AND BOOKS,636,HUDSON STREET,10014,2122292642,American,A
SWEET & VICIOUS,5,SPRING STREET,10012,2123347915,American,A
THE BUTCHER'S DAUGHTER,581,HUDSON ST,10014,9173882132,Vegetarian,A
IRVINGTON BAR AND RESTAURANT/STUDIO/LILIUM,201,PARK AVE S,10003,2126770425,American,A
TOUS LES JOURS,31,W 32ND ST,10001,2129679661,Bakery,A
HAPPY WORLD,1309,SAINT NICHOLAS AVE,10033,2127817778,Chinese,A
GREEN SYMPHONY,547,6 AVENUE,10011,2129293752,Vegetarian,A
DEB'S,200,VARICK STREET,10014,2126754550,American,A
STARBUCKS,220,EAST   42 STREET,10017,2128671264,Caf̩/Coffee/Tea,A
CAFE 71,2061,BROADWAY,10023,2128752100,Caf̩/Coffee/Tea,A
LADY M CONFECTIONS (Plaza Hotel 770 5th avenue),1,WEST   59 STREET,10019,7189378877,Bakery,A
RACQUET & TENNIS CLUB,370,PARK AVENUE,10022,2127539700,American,A
TASTE OF CAFE (POTAMKIN),2495,2 AVENUE,10035,3479220626,American,A
CHAMPION PIZZA,17,CLEVELAND PLACE,10012,2122263777,Pizza/Italian,A
TENDER,130,W 47TH ST,10036,2125146000,Steak,A
LA SONRISA EMPANADAS,NKA,"HIGHLINE PARK, WEST 15TH ST",10011,9179411064,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
THE BEAN,54,2ND AVE,10003,2122285020,Caf̩/Coffee/Tea,A
CACIO E VINO,80,2 AVENUE,10003,2122283269,Italian,A
TRESTLE ON TENTH/ROCKET PIG,242,10 AVENUE,10001,2126455659,American,A
CANARD INC,503,WEST   43 STREET,10036,2129471561,American,A
TABOO,408,8 AVENUE,10001,2129672100,American,A
RED ROOM,85,E 4TH ST,10003,2124755400,"Bottled beverages, including water, sodas, juices, etc.",A
MILK & COOKIES BAKERY,19,COMMERCE STREET,10014,2122431640,Bakery,A
NORWOOD,241,WEST   14 STREET,10011,2122559300,American,A
OOTOYA,41,E 11TH ST,10003,2124734300,Japanese,A
CHAAN TENG,698,9TH AVE,10036,2122351886,Chinese,A
TONY'S PIZZA PASTA & GYRO,4771,BROADWAY,10034,2125447476,Pizza,A
ARIEL'S TAPA LOUNGE,293,EAST HOUSTON STREET,10002,2129823222,Spanish,A
BAGEL EXPRESS11,1228,2ND AVE,10065,2128793960,Bagels/Pretzels,A
YAKITORI SUN-CHAN,2707,BROADWAY,10025,2127495008,Japanese,A
BAR  BELLY,14B,ORCHARD STREET,10002,6465969142,American,A
THE GUTHRIE INN,1259,PARK AVENUE,10029,6074250077,American,A
TOCQUEVILLE RESTAURANT,3,EAST   15 STREET,10003,2126471515,French,A
PICCOLA STRADA RESTAURANT,77,EAST 4 STREET,10003,2126741557,Italian,A
THE CORNELIA STREET CAFE,29,CORNELIA STREET,10014,2129899319,American,A
TSUSHIMA,210,E 44TH ST,10017,2122071938,Japanese,A
PARDON MY FRENCH,103,AVENUE B,10009,2123589683,French,A
FIVE GUYS FAMOUS BURGERS AND FRIES,2847,BROADFWAY,10025,2126787701,American,A
BUFFALO BOSS,17,W 125TH ST,10027,7189230800,Chicken,A
CAKES 'N SHAPES,466,WEST   51 STREET,10019,2126295512,Bakery,A
MORGAN STANLEY,1585,BROADWAY,10036,2127614043,American,A
THE FULL SHILLING,160,PEARL STREET,10005,2124223855,Irish,A
NO HO JUICE BAR & DELI,208,MERCER STREET,10012,2127775070,Delicatessen,A
LE BERNARDIN,155,W 51ST ST,10019,2125541515,French,A
MCDONALD'S,1651,BROADWAY,10019,2125865530,American,A
RICE TO RICHES,37,SPRING STREET,10012,2122740008,American,A
VINATERIA,2211,FREDERICK DOUGLAS BOULEVARD,10026,2126628462,American,A
TOBY'S ESTATE COFFEE,160,5 AVENUE,10010,6465590161,Caf̩/Coffee/Tea,A
TILL & SPROCKET,140,W 30TH ST,10001,__________,American,A
ROCKWOOD MUSIC HALL,190,ALLEN STREET,10002,2124774155,Filipino,A
CAFE KITCHEN (CENTERPLATE CAFE AND KITCHEN),655,WEST   34 STREET,10001,2122162426,American,A
HOP WON EXPRESS,139,E 45TH ST,10017,2126614280,Chinese,A
WAFELS & DINGES,15,AVENUE B,10009,6462572592,American,A
BUBBLE TEA & CREPES,251,5TH AVE,10016,6465901959,Asian,A
TOUCH OF DEE'S,657,LENOX AVENUE,10037,2126949530,American,A
PLAYWRIGHT TAVERN,27,WEST   35 STREET,10001,2122688868,Irish,A
SAIGUETTE,935,COLUMBUS AVENUE,10025,2128666888,Vietnamese/Cambodian/Malaysia,A
108 FOOD DRIED HOT POT,2794,BROADWAY,10025,9176756878,Chinese,A
PERDITION,692,10 AVENUE,10019,2125825660,American,A
LE RELAIS DE VENISE,590,LEXINGTON AVENUE,10154,2127583989,French,A
11 STREET CAFE,327,WEST   11 STREET,10014,6466924455,Caf̩/Coffee/Tea,A
WINDFALL,23,WEST   39 STREET,10018,2128694606,American,A
LADY M CONFECTIONS,30,ROCKEFELLER PLZ,10112,2124522222,Bakery,A
MUSCLE MAKER GRILL,10,MURRAY ST,10007,2129621813,American,A
PARM RESTAURANT,250,VESEY ST,10281,2127764927,Italian,A
ONE STAR,147,W 24TH ST,10011,2127770100,American,A
SANT AMBROEUS,1000,MADISON AVENUE,10075,2125702211,Italian,A
DUKE'S,560,3 AVENUE,10016,2129495400,American,A
MCDONALD'S,317,BROADWAY,10007,2127326407,American,A
NEXT DOOR RESTAURANT,813,W 187TH ST,10033,2125432111,Chinese/Cuban,A
FOUNDRY KITCHEN & BAR,270,W 43RD ST,10036,2122012766,American,A
HOLIDAY INN EXPRESS,538,WEST 48TH STREET,10036,2125820692,Continental,A
VAPIANO,113,UNIVERSITY PLACE,10003,2127779477,Italian,A
POINT BREAK,12,WEST   45 STREET,10036,2123918053,American,A
JIN FENG RESTAURANT,2-6,ELDRIDGE STREET,10002,2129666626,Chinese,A
INDIGO INDIAN BISTRO,283,COLUMBUS AVENUE,10023,2125793900,Indian,A
RYEHOUSE,11,WEST 17 STREET,10011,2122557260,American,A
HOTEL CHANDLER,12,EAST   31 STREET,10016,2128896363,American,A
FUNNY BBQ,98,BOWERY,10013,2129650076,Chinese,A
SCHNIPPERS,570,LEXINGTON AVE,10022,2128268100,American,A
BURGER HEIGHTS,79,AUDUBON AVE,10032,2122035613,American,A
SUPERIORITY BURGER,430,E 9TH ST,10009,2122561192,Vegetarian,A
THE GINGER MAN,11,EAST   36 STREET,10016,2125323740,American,A
PARLOR STEAK AND FISH,1600,3 AVENUE,10128,2124235888,Steak,A
DUNKIN' DONUTS,111,WEST  110 STREET,10026,2122220700,American,A
Edge Funds Cafe,1540,BROADWAY,10036,2127302730,American,A
TAVERNA KYCLADES,228,1ST AVE,10009,2124320011,Greek,A
CAFE SELECT,212,LAFAYETTE STREET,10012,2129259322,Eastern European,A
E-MO KIMBAB,2,W 32ND ST,10001,2125941416,Korean,A
PRET A MANGER,62,WEST   45 STREET,10036,2128470294,American,A
H.K WONTON GARDEN,79,MULBERRY STREET,10013,2123491495,Chinese,A
BOMBONADA,56,SHERMAN AVE,10040,9177361613,Spanish,A
DREAMERS PIZZA,1850,3RD AVE,10029,2129875414,Pizza,A
Frisson Espresso,326,W 47TH ST,10036,6468503929,Caf̩/Coffee/Tea,A
RED BAMBOO,140,WEST    4 STREET,10012,2122607049,Vegetarian,A
FIKA,824,10TH AVE,10019,6464907650,Continental,A
TASTE OF CAFE (POTAMKIN),2495,2 AVENUE,10035,3479220626,American,A
ASTRO RESTAURANT,101,WEST   55 STREET,10019,2124896284,American,A
EL RIO GRANDE,160,EAST   38 STREET,10016,2128670922,Mexican,A
THE IZAKAYA,326,E 6TH ST,10003,9174751284,Japanese,A
Out Latin Food Philly Cheese Steak,710,9TH AVE,10019,2122460867,Mexican,A
SUSHI HANA,111,RIVINGTON STREET,10002,2123889688,Japanese,A
BIBBLE AND SIP,253,W 51ST ST,10019,2125867579,Bakery,A
GLUTEEN FREE AT THE GARDEN,4,PENN PLZ,10121,2124656302,Hotdogs/Pretzels,A
MCNALLY JACKSON CAFE,52,PRINCE STREET,10012,2122741160,Caf̩/Coffee/Tea,A
CAMARADAS EL BARRIO,2241,1 AVENUE,10029,2123482703,Polynesian,A
SALT AND PEPPER DINER,139,WEST   33 STREET,10001,2122681919,Middle Eastern,A
JOE COFFEE,1045,LEXINGTON AVENUE,10021,2129882500,Caf̩/Coffee/Tea,A
MOMO SUSHI,239,PARK AVE S,10003,2126777001,Japanese,A
SPRING & VARICK,246,SPRING ST,10013,2128424500,American,A
MIGHTY QUINN'S BBQ,75,GREENWICH AVE,10014,6465247889,American,A
LA CAVA,939,2 AVENUE,10022,2122231206,Italian,A
THE PRESS BOX,932,2 AVENUE,10022,2123171826,American,A
MCDONALD'S,1286,1 AVENUE,10021,2122493551,Hamburgers,A
ESSEX WORLD CAFE,112,LIBERTY STREET,10006,2127919900,American,A
WEI WEST/BEANS & GREENS,102,NORTH END AVENUE,10282,2127861300,Asian,A
VBAR SEAPORT,212,FRONT ST,10038,2127327600,American,A
LA SIRENA,88,9TH AVE,10011,2129776096,Italian,A
ROCKEFELLER U/ABBY BLDG,1252,YORK AVENUE,10065,2123278890,American,A
UPHOLSTRY STORE,715,WASHINGTON ST,10014,2129296384,French,A
ARTE RESTAURANT,21,EAST    9 STREET,10003,2124730077,Italian,A
AUNTIE GUAN'S KITCHEN,219,E 23RD ST,10010,2126853388,Chinese,A
DROP OFF SERVICE,211,AVENUE A,10009,2122602914,American,A
STARBUCKS,93,GREENWICH AVENUE,10014,2124624697,Caf̩/Coffee/Tea,A
99 CENTS MEGA PIZZA,1875,LEXINGTON AVE,10035,2123690369,American,A
BLUE BOTTLE COFFEE,71,CLINTON ST,10002,5107175314,Caf̩/Coffee/Tea,A
LUCKY'S FAMOUS BURGERS,147,EAST HOUSTON STREET,10002,2122544900,Hamburgers,A
DUNKIN' DONUTS,398,AUDUBON AVE,10033,6466698107,Donuts,A
FALAFEL TARBOOSH,1701,AMSTERDAM AVENUE,10031,2122344434,Middle Eastern,A
CASA MEZCAL,86,ORCHARD STREET,10002,2127772600,Mexican,A
GOTHAM CAFE,1298,2 AVENUE,10065,2127170457,Delicatessen,A
AMC THEATRES,312,W 34TH ST,10001,2122444556,American,A
PONGSRI THAI RESTAURANT,244,WEST   48 STREET,10036,2125823392,Thai,A
FANELLI CAFE,94,PRINCE STREET,10012,2122269412,American,A
TURNTABLE CHICKEN JAZZ,20,W 33RD ST,10001,2127149700,Korean,A
NOHOHON TEA ROOM,9,SAINT MARKS PL,10003,2123870276,Japanese,A
EL NUEVO CARIDAD RESTAURANT,1618,ST NICHOLAS AVENUE,10040,2127811880,Spanish,A
Pizza Guys,3609,BROADWAY,10031,6465907712,Pizza/Italian,A
TEMPURA MATSUI,222,E 39TH ST,10016,2129868885,Japanese,A
PATE PALO,251,DYCKMAN ST,10034,6469186242,Spanish,A
GALLI RESTAURANT,45,MERCER STREET,10013,2129669288,Italian,A
BLUE HILL RESTAURANT,75,WASHINGTON PLACE,10011,2125391776,American,A
STARBUCKS,1021,3 AVENUE,10065,2124866764,Caf̩/Coffee/Tea,A
HIGHLINE PIZZERIA,503,WEST   28 STREET,10001,2125643330,Pizza,A
BIG DADDY'S DINER,239,PARK AVENUE SOUTH,10003,2124771500,American,A
LITTLE ITALY PIZZA,696,9TH AVE,10036,2125947817,Pizza,A
NUSBAUM & WU,2897,BROADWAY,10025,2122805344,Delicatessen,A
THE BISTRO (HBO CAFETERIA),1100,AVENUE OF THE AMERICAS,10036,2125125730,American,A
EAT-A-BAGEL--John Marchi Ferry,12,WHITE HALL FERRY TERMINAL,10004,7182738406,Bagels/Pretzels,A
SOUEN RESTAURANT,210,6 AVENUE,10014,2128077421,Japanese,A
PARAMOUNT BAR & GRILL,235,WEST   46 STREET,10036,2128274116,American,A
SIGGY'S NYC,292,ELIZABETH STREET,10012,2122265775,American,A
LE PAIN QUOTIDIEN,861,LEXINGTON AVE,10065,2123599000,French,A
JOHN DOE BAR & KITCHEN,253,5TH AVE,10016,6468824007,American,A
NEW YORK COMEDY CLUB,241,E 24TH ST,10010,2126965233,American,A
PARK AVENUE WINTER,360,PARK AVENUE SOUTH,10010,2129517111,American,A
ROBATAYA,231,E 9TH ST,10003,2129799674,Japanese,A
NY HOT JUMBO BAGELS,1070,2 AVENUE,10022,2123556185,Delicatessen,A
CHOP'T,1450,BROADWAY,10018,2125244619,Salads,A
TIJUANA PICNIC,151,ESSEX ST,10002,2122192000,Mexican,A
Carmine Street Beer,52,CARMINE ST,10014,2126332337,"Bottled beverages, including water, sodas, juices, etc.",A
PIADA,768,5TH AVE,10019,2127522727,Italian,A
WOK TO WALK,684,3RD AVE,10017,6469645333,Asian,A
THE CLAM,420,HUDSON ST,10014,2122427420,American,A
THE LOEB BOATHOUSE CENTRAL PARK,0,E 72ST CENTRAL PK DRIVE NORTH,10021,2125172233,American,A
TEN TAN CHINESE RESTAURANT,3864,10TH AVE,10034,2123040330,Chinese,A
BARRYS BOOTCAMP,135,W 20TH ST,10011,6465592721,"Juice, Smoothies, Fruit Salads",A
LYCHEE HOUSE,141,EAST 55 STREET,10022,2127533900,Chinese,A
BY CHLOE,185,BLEECKER ST,10012,2122908000,Vegetarian,A
NINOS 46,39,WEST   46 STREET,10036,2127194015,Italian,A
KAFFE 1668,401,GREENWICH STREET,10013,6465592587,Caf̩/Coffee/Tea,A
ROSE PIZZA,1,PENN PLAZA,10119,2125947817,Pizza,A
CONNOLLY'S,121,WEST   45 STREET,10036,2125975126,Irish,A
GOURMET PARK,119,EAST   60 STREET,10022,2129358500,Delicatessen,A
CAFE BLERIOT,226,E 83RD ST,10028,6462449647,Caf̩/Coffee/Tea,A
THE DISH RESTAURANT,201,8 AVENUE,10011,2123529800,American,A
SLATTERY'S MIDTOWN PUB,8,EAST   36 STREET,10016,2126836444,American,A
HAMPTON INN,54,WATTS STREET,10013,2122266288,American,A
STARBUCKS,1117,LEXINGTON AVENUE,10075,2125178476,Caf̩/Coffee/Tea,A
SUBWAY,1752,PARK AVE,10035,6466860126,Sandwiches,A
STARBUCKS,124,8 AVENUE,10011,2124622020,Caf̩/Coffee/Tea,A
LILLIE'S RESTAURANT,13,EAST   17 STREET,10003,2123371970,American,A
PONCHE TAQUERIA,420,WEST   49 STREET,10019,2125811235,Mexican,A
STARBUCKS,330,MADISON AVENUE,10017,2126821880,Caf̩/Coffee/Tea,A
READY TO EAT,525,HUDSON STREET,10014,2122291013,American,A
BIG DADDY'S DINER,239,PARK AVENUE SOUTH,10003,2124771500,American,A
LE PAIN QUOTIDIEN,708,3 AVENUE,10017,6467360949,French,A
QUECHUA NOSTRA,1634,LEXINGTON AVENUE,10029,2124100707,Peruvian,A
THE MEATBALL SHOP,64,GREENWICH AVENUE,10011,2129827815,American,A
MCDONALD'S,2726,BROADWAY,10025,2122228714,Hamburgers,A
SASHIMI EXPRESS,354,E 78TH ST,10075,9292319376,Japanese,A
CREPERIE,135,LUDLOW STREET,10002,2129795521,French,A
LE MOULIN A CAFE,1439,YORK AVENUE,10075,2122885088,Caf̩/Coffee/Tea,A
MIDTOWN RESTAURANT,155,EAST   55 STREET,10022,2126441611,American,A
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,47,WEST   14 STREET,10011,2126270851,Caribbean,A
BUTTER LANE,123,E 7TH ST,10009,2126772880,Bakery,A
THE RAMBLE CAFE,10,HUDSON YARDS,10001,7043284036,Caf̩/Coffee/Tea,A
GREAT WALL,2234,1 AVENUE,10029,2124264888,Chinese,A
DIWAN-E-KHAAS,2628,CEDAR STREET,10005,2125717676,Indian,A
BENS COOKIES,822,BROADWAY,10003,5164106172,Caf̩/Coffee/Tea,A
KANOYAMA,175,2 AVENUE,10003,2127775266,Japanese,A
CHOPPED PARSLEY,500,W 146TH ST,10031,9176756666,Japanese,A
BAR ASSOCIATION OF THE CITY OF NY KITCHEN,42,WEST   44 STREET,10036,2123826688,American,A
LURE FISHBAR,142,MERCER STREET,10012,2124317676,Seafood,A
I TRULLI/SOTTO SUOLO RESTAURANT,122,EAST   27 STREET,10016,2124817372,Italian,A
SHORTY'S,62,PEARL ST,10004,2124803900,American,A
PETER DILLON'S,385,5 AVENUE,10016,2123004091,Irish,A
SPOT DESSERT BAR,5,SAINT MARKS PL,10003,2126736745,Asian,A
ALMOND,12,EAST   22 STREET,10010,2122287557,French,A
CITY PERK,15,PENN PLAZA,10001,6464572354,Caf̩/Coffee/Tea,A
DEAD RABBIT TAVERN,30,WATER STREET,10004,6464227906,Irish,A
EMPIRE CHINESE RESTAURANT,1635,SAINT NICHOLAS AVE,10040,2129232467,Chinese,A
CHIPOTLE MEXICAN GRILL,9,WEST   42 STREET,10036,2123546760,Mexican,A
HUDSON MALONE,218,E 53RD ST,10022,2123556607,American,A
WHISKEY TOWN,29,EAST    3 STREET,10003,2125057344,American,A
PLAYWRIGHTS HORIZONS,416,W 42ND ST,10036,2125825472,American,A
LE PAIN QUOTIDIEN,708,3 AVENUE,10017,6467360949,French,A
TURKISS,104,MACDOUGAL ST,10012,6463987849,Mediterranean,A
BOCCA,135,WEST   50 STREET,10020,2125823000,American,A
LENNY'S BAGELS,2601,BROADWAY,10025,2122220410,Bagels/Pretzels,A
YOLI RESTAURANT,274,EAST    3 STREET,10009,2124201075,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
BAR SIX,502,6 AVENUE,10011,2126911363,French,A
CHIPOTLE MEXICAN GRILL,320,PARK AVENUE,10022,2127543098,Tex-Mex,A
MCDONALDS,608,W 207TH ST,10034,2123043611,American,A
ZAITZEFF,72,NASSAU STREET,10038,2125717272,American,A
JOY CURRY & TANDOOR,32,WEST   39 STREET,10018,6465597527,Indian,A
ADVENTURE CAFE,85,DELANCEY ST,10002,6468472367,Caf̩/Coffee/Tea,A
NATIVE BEAN,36B,AVENUE A,10009,2122288110,American,A
PRONTO PIZZA,114,LIBERTY STREET,10006,2123749595,Pizza,A
RIVOLI PIZZA RESTAURANT,176,7 AVENUE SOUTH,10014,2126912704,Pizza,A
